Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00025281,2.5248E-05,-0.11438,0,0,0,0.5229,0.00069081,-3.5231E-09,-4.3565E-08,0.00052418,-1.1744E-08,0.0010991,0,0,0,0,0,0,package://shabi/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://shabi/meshes/base_link.STL,,8009支撑块-1;DM-J8009-2EC-1;L1底板-1;轴承压紧件-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.00010875,0.038163,-0.016779,0,0,0,0.41357,0.00047326,4.8795E-09,6.4665E-09,0.00085767,8.5658E-09,0.00054656,0,0,0,0,0,0,package://shabi/meshes/link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://shabi/meshes/link1.STL,,L1连接件-1;10010L支撑铝板-1;dm-j10010l-240726_1-1;10010支撑打印件-1;10010L支撑侧板-1;10010L固定支撑块-1,坐标系1,基准轴1,joint1,revolute,0,0,0,0,0,0,base_link,0,0,-1,20,6.28,-3.14,3.14,,,,,,,,
link2,0.16283,-0.008726,0.032724,0,0,0,0.56328,0.00029458,8.4279E-08,1.2114E-05,0.0030506,5.9597E-20,0.0031884,0,0,0,0,0,0,package://shabi/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://shabi/meshes/link2.STL,,L1侧板1-1;L1铝管-1;L1侧板延长件-1;L1侧板2-1;定位模块安装-连杆1-1-1;定位模块安装-连杆1-2-2;定位模块安装-连杆1-2-1,坐标系2,基准轴2,joint2,revolute,0,0,0,1.5708,-1.5708,0,link1,0,0,-1,40,6.28,-3.14,3.14,,,,,,,,
link3,0.01187,-0.040706,-0.050863,0,0,0,0.69398,0.00068383,6.1259E-05,2.0859E-08,0.00045282,-2.642E-08,0.00074983,0,0,0,0,0,0,package://shabi/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://shabi/meshes/link3.STL,,L2_J6248P固定板2-1;DM 6248 减速电机20250717_1-3;L2_J6248P固定板1-1;图传安装板-1;L2_上下盖板-1;L2_305AT固定板-1;L2_上下盖板-2;DM-J4310-2EC-V1.1-1;CRBTF305AT-1/CRBTF305AT_PART2-1;J6248P保护板1-1,坐标系3,基准轴3,joint3,revolute,0.35,0,0,0,0,1.5708,link2,0,0,1,30,6.28,-3.14,3.14,,,,,,,,
link4,4.5436E-05,-0.0040238,-0.012624,0,0,0,0.2538,0.00011728,1.693E-08,-1.8583E-08,0.00016655,-2.3435E-12,9.1825E-05,0,0,0,0,0,0,package://shabi/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://shabi/meshes/link4.STL,,yaw轴固定座-1;L3_4340固定板2-1;L3_4340固定板1-1;DM-J4340-2EC-2;L3_4340固定垫块-1;法兰轴承20-32-7-1,坐标系4,基准轴4,joint4,revolute,0.0245,-0.192,-0.05775,1.5708,0,0,link3,0,0,-1,3,6.28,-3.14,3.14,,,,,,,,
link5,-5.0047E-05,-0.075729,-0.0016596,0,0,0,0.32097,0.00028985,2.9207E-08,1.0638E-08,0.0001537,2.9947E-08,0.00028447,0,0,0,0,0,0,package://shabi/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://shabi/meshes/link5.STL,,L4_4340传动连接（轴承处）-1;L3_盖板-1;L3_盖板-2;L4_4340传动连接-1;L4_4310固定底板-1;L4_4310固定板-1;DM-J4310-2EC-V1.1-2,坐标系5,基准轴5,joint5,revolute,0,0,0,-1.5708,0,0,link4,0,0,-1,9,6.28,-3.14,3.14,,,,,,,,
link6,-0.0001,-0.00195,0.12294,0,0,0,0.023473,4.7422E-06,-6.8824E-09,-3.1968E-22,4.7207E-06,5.4056E-21,8.0855E-06,0,0,0,0,0,0,package://shabi/meshes/link6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://shabi/meshes/link6.STL,,夹爪连接件-1,坐标系6,基准轴6,joint6,revolute,0,0,0,1.5708,0,0,link5,0,0,-1,3,6.28,-3.14,3.14,,,,,,,,
